ID,Title,Work Item Type,System.AreaPath,System.IterationPath,Microsoft.VSTS.Common.Priority,Microsoft.VSTS.Scheduling.StoryPoints
3077027,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Add note: ""View properties"" does not receive focus/is not keyboard accessible,",Bug,,,,3
3077028,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Under Engagement, Add and Manage]: Add note : No role is provided for ""View properties""",Bug,,,,2
3077029,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Add > Add engagement > Engagement source > Hidden content is read by the screen reader.",Bug,,,,2
3077030,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Add > Add engagement > Engagement information > Incorrect heading hierarchy",Bug,,,,2
3077032,"508: [Cloud Audit Suite] [EPC] [1.4.10] [Under Engagement, Add and Manage]: Add> Manage > Manage engagement : After 400% browser zoom data overlapping and truncation is observed.",Bug,,,,5
3077033,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Under Engagement, Add and Manage]: Engagement > Properties : Incorrect role radio button is provided instead of tab",Bug,,,,2
3077437,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Add> Add engagement > Account grouping: Account grouping check box has no visible focus",Bug,,,,3
3077443,"508: [Cloud Audit Suite] [EPC] [1.3.1][Under Engagement, Add and Manage]: Engagement > Manage > Send to pdf: Multiple heading level 1 is present on the page",Bug,,,,2
3077452,"508: [Cloud Audit Suite] [EPC] [1.4.4] [Under Engagement, Add and Manage]: Add> Manage > Properties > Content:After 200% browser zoom data overlapping is observed.",Bug,,,,5
3077458,"508: [Cloud Audit Suite] [EPC] [1.4.4] [Under Engagement, Add and Manage]:  After 200% browser zoom, data truncation is observed.",Bug,,,,5
3088463,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Under Engagement, Add and Manage]: When leaving the 'Add Note"" modal, focus does not move back to the trigger control",Bug,,,,3
3088618,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Engagement > Visible focus is not consistent",Bug,,,,3
3089377,508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Combo boxes throughout Workpapers 'Create Report' section are missing labels,Bug,,,,2
3136845,[AF] [Communications] [Create Request] [508] not meeting reflow/magnification standard,User Story,,,,5
3143533,[AF] [General] [508] Spike: Assess options to meet magnification and reflow standards,User Story,,,,8
3149770,[AF] [Communications] [Create Request] [508] Spike: Assess options to meet magnification and reflow standards,User Story,,,,5
3285381,508: [Cloud Audit Suite] [Client Collaboration Microsite] [1.3.1]: Unnecessary use of heading elements is defined on the page.,Bug,,,,2
3285575,"508: [Cloud Audit Suite] [Client Collaboration Microsite] [TR Standard]: Ensure ARIA regions, landmarks, and HTML sections are identifiable.",Bug,,,,2
3285622,508: [Cloud Audit Suite] [Client Collaboration Microsite] [1.3.2]: NVDA is announcing some hidden content information when navigating using arrow keys.,Bug,,,,2
3382577,508: {QED:US}:accessibility issue on communication screen (based on screen resolution),Bug,,,,5
3508897,508: [AdvanceFlow] [Header] [2.4.1]: Skip to main content is not present on the page.,Bug,,,,3
3508898,508: [AdvanceFlow] [Header] [TR Standard]:H1 Heading is not defined on the page.,Bug,,,,2
3508899,508: [AdvanceFlow] [Header] [2.4.3]: After closing the setup dialog the keyboard focus is visible on add new engagement button.,Bug,,,,3
3508902,508: [AdvanceFlow] [Header] [2.4.3]: On closing the more option button with Esc key the whole dialog is getting closed.,Bug,,,,3
3508906,508: [AdvanceFlow] [Manage Users] [1.4.11]: Focus Indicator for Action button is not meeting the required ratio of 3:1.,Bug,,,,2
3508907,508: [AdvanceFlow] [Manage Users] [1.4.11]: Focus Indicator for Checkbox is not meeting the required ratio of 3:1.,Bug,,,,2
3508908,508: [AdvanceFlow] [Manage Users] [1.3.1]: Provide an accessible name for search field.,Bug,,,,2
3508909,508: [AdvanceFlow] [Manage Users] [1.1.1]: NVDA is not announcing the name of the search button.,Bug,,,,2
