Category,Work Item ID,Title,Type,Priority,Priority Group,Story Points,Created By,State,URL,Description,Steps to Reproduce
Title match,3075622,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: NVDA is not narrating the descriptive information for the buttons.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075622,,
Title match,3075624,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: List value information is not announcing while using arrow keys",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075624,,
Title match,3077019,"508: [Cloud Audit Suite] [EPC] [3.3.2] [Under Engagement, Add and Manage]: Permanent visual label is not provided for the Filter client name and filter client number ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077019,,
Title match,3077021,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Interactive client table does not receive focus, nor is it keyboard operable  ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077021,,
Title match,3077022,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Multiple heading level 1 is present on the page       ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077022,,
Title match,3077024,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Under Engagement, Add and Manage]: Engagement >  Engagement Recycle Bin does not receive focus, nor is the element keyboard operable",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077024,,
Title match,3077025,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Under Engagement, Add and Manage]: Engagement > Incorrect focus order is found on Left navigation menu.    ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077025,,
Title match,3077026,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: 'Add Note' modal not tagged as heading   ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077026,,
Title match,3077027,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Add note: "View properties" does not receive focus/is not keyboard accessible,            ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077027,,
Title match,3077028,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Under Engagement, Add and Manage]: Add note : No role is provided for "View properties"                ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077028,,
Title match,3077029,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Add > Add engagement > Engagement source > Hidden content is read by the screen reader.                   ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077029,,
Title match,3077030,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Under Engagement, Add and Manage]: Add > Add engagement > Engagement information > Incorrect heading hierarchy             ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077030,,
Title match,3077032,"508: [Cloud Audit Suite] [EPC] [1.4.10] [Under Engagement, Add and Manage]: Add> Manage > Manage engagement : After 400% browser zoom data overlapping and truncation is observed.                 ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077032,,
Title match,3077033,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Under Engagement, Add and Manage]: Engagement > Properties : Incorrect role radio button is provided instead of tab          ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077033,,
